year,PLAYER_ID,TEAM_ABBREVIATION,roty_probability
2015-16,Karl-Anthony Towns,MIN,0.9871177617069291
2016-17,Malcolm Brogdon,MIL,0.7961183857888168
2017-18,Lonzo Ball,LAL,0.05029207392529736
2018-19,Luka Dončić,DAL,0.04182625150002619
2019-20,Ja Morant,MEM,0.904438117024538
2020-21,LaMelo Ball,CHA,0.8436424038023064
2021-22,Scottie Barnes,TOR,0.8990330832960648
2022-23,Paolo Banchero,ORL,0.959730605655529
2023-24,Victor Wembanyama,SAS,0.9778582708192748
2024-25,Isaiah Collier,UTA,0.013245119310733442
